Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
wall-traders,https://walloftraders.com/fr,API / Blockchain / finance / FinTech / french tech / SaaS,Optimisez vos cryptos avec le Smart Trading GRATUIT et le Copy Trading,Optimize your crypto with Smart Trading FREE Copy and Trading,optim crypto smart trade free copi trade
plateo,http://www.plateo.fr,BTP / Service aux particuliers / Services Professionnels,La sérénité de trouver un artisan de confiance,The Serenity find a trusted craftsman,seren find trust craftsman
proviridis,https://www.proviridis.fr/,,Développe la mise en place d’infrastructures innovantes de distribution de carburants propres permettant de répondre aux enjeux environnementaux et aux contraintes économiques des consommateurs.,Develops implementation of innovative clean fuel distribution infrastructure to meet environmental and economic constraints consumer issues.,develop implement innov clean fuel distribut infrastructur meet environment econom constraint consum issu
optimum-automotive,http://optimum-automotive.com,Application mobile / Automobile / autopartage / Bpifrance / BtoB / collecte de données / connectivité / covoiturage / géolocalisation / technologie,Développe des solutions de gestion du parc automobile.,Develops fleet management solutions.,develop fleet manag solut
avis-verifies-net-reviews,https://www.avis-verifies.com/,,Développe une solution baptisée Avis Vérifiés à destination des retailers ou des e-commerçants et des consommateurs,Developing a solution called Verified Reviews aimed at retailers or e-tailers and consumers,develop solut call verifi review aim retail e-tail consum
les-vergers-du-sud,http://www.lesvergersdusud.fr/accueil,,Producteur de pommes et de melons.,apple producer and melons.,appl produc melon
subclic,https://subclic.com/,BTP / collaboratif / construction / contract / digital / innovation / Innovation collaborative / Innovation Digitale / plateforme / sous-traitance,"Contrats de sous-traitance, demandes d’agrément, DC4… Subclic est une plateforme web qui va vous faire gagner du temps sur la gestion de vos dossiers de sous-traitance dans le BTP ! ","Contracts outsourcing, applications for approval, DC4 ... Subclic is a web platform that will make you save time on managing your outsourcing issues in the construction!",contract outsourc applic approv dc4 ... subclic web platform make save time manag outsourc issu construct
sportall,https://www.linkedin.com/company/19163616/,internet / live / SportTech / streaming,La plateforme video OTT pour tous les sports,The OTT video platform for all sports,ott video platform sport
rofim,https://www.rofim.fr/,,Plateforme de télémédecine mettant en relation les professionnels de santé afin de leur permettre d’échanger de manière totalement sécurisée sur les dossiers des patients.,Telemedicine Platform linking health professionals to enable them to exchange secure way on patient records.,telemedicin platform link health profession enabl exchang secur way patient record
diamidex,https://diamidex.com/,,Développe une solution permettant de marquer et identifier des microorganismes ciblés.,Is developing a solution for marking and identification of target microorganisms.,develop solut mark identif target microorgan
onatera,https://www.onatera.com/,,"Le référent des compléments alimentaires, des huiles essentielles, des cosmétiques, des soins d’hygiène ainsi que des produits de nutrition et superaliments, tous naturels et/ou certifiés bio. ","The referent of food supplements, essential oils, cosmetics, care, hygiene and nutrition products and superfoods, all natural and / or certified organic.",refer food supplement essenti oil cosmet care hygien nutrit product superfood natur certifi organ
dimojo,https://www.dimojo.fr,Activités et Loisirs / bien-être / digital,"Plateforme web de mise en relation entre les organisateurs de cours, ateliers et stage de loisirs, et le grand public ","Platform matchmaking web between course organizers, workshops and recreational training, and the general public",platform matchmak web cours organ workshop recreat train gener public
tchek,https://www.tchek.fr,,La solution autonome de vos inspections automobiles.,The standalone solution for your automotive inspections.,standalon solut automot inspect
lepriximmo,http://www.lepriximmo.fr,Analyse / bases de données / carte / géolocalisation / Immobilier,Vous permet de visualiser les transactions immobilières des 5 dernières années de façon simple et intuitive.,You can view real estate transactions last 5 years of simple and intuitive way.,view real estat transact last 5 year simpl intuit way
abc-coach-sportif-aix-en-provence,https://www.abc-coach-sportif.com/coach-sportif-aix-en-provence.html,coaching,ABC Coach sportif Aix est une SARL créée en 2007 par deux passionnés. La spécificité d'ABC est de proposer un accompagnement et un suivi haut de gamme. Une approche globale pour un service individualisé.,ABC Sports Coach Aix is ​​a company created in 2007 by two passionate. The specificity of ABC is to provide a support and a high-end monitoring. A comprehensive approach to individualized service.,abc sport coach aix ​​a compani creat 2007 two passion specif abc provid support high-end monitor comprehens approach individu servic
open-lowcode,https://openlowcode.com/,open source / services informatiques,"Nous vous aidons à construire des applications en quelques heures plutôt qu’en plusieurs semaines, avec une ergonomie adaptée à la vraie vie, et une robustesse de niveau professionnelle ","We help you build applications in hours rather than weeks, with an adapted ergonomics to real life, and a robust professional level",help build applic hour rather week adapt ergonom real life robust profession level
happywiz,https://www.happywiz.co/,automation / CRM / fidélisation / marketing,"Solution SAAS d'unification données e-commerce et magasins, d'automatisation du re-engagement client et de mesure de la satisfaction. ","SAAS solution unifying data and e-commerce stores, automation customer re-engagement and satisfaction measurement.",saa solut unifi data e-commerc store autom custom re-engag satisfact measur
kampn,https://kampn.fr/,Adtech / API / facebook / SaaS / search,"La plateforme Saas pour gérer, contextualiser et optimiser ses campagnes publicitaires sur Facebook, Instagram et Google. ","The Saas platform to manage, contextualize and optimize its advertising campaigns on Facebook, Instagram and Google.",saa platform manag contextu optim advertis campaign facebook instagram googl
tuyoo,http://www.tuyoo.fr,Accompagnement / audit,Nous proposons de tester vos capacités pour aborder le marché chinois.,We propose to test your abilities to address the Chinese market.,propos test abil address chine market
walter-learning,http://www.walter-learning.com,EdTech / education / formation / formation en ligne,Plateforme de e-learning pour les professionnels en activité,e-learning platform for working professionals,e-learn platform work profession
market-hours,https://www.markethours.net/forex-market-hours,argent / échange d'argent / finance / internet / investissement / Place de marché,"Voir les horaires des sessions des marchés forex en un coup d'œil. Sachez à quelle heure les marchés sont actifs à Londres, New York, Sydney ou Tokyo. ","See the schedules of forex market sessions at a glance. Know what time the markets are active in London, New York, Sydney and Tokyo.",see schedul forex market session glanc know time market activ london new york sydney tokyo
ilab-mister-compta,https://www.mistercompta.com,comptabilite,Comptabilité 100% automatisée pour entreprise,Accounting for 100% automated business,account 100 autom busi
evalbox,https://www.evalbox.fr,apprentissage / audit / auto-école / Bon plan / cabinet de recrutement digital / Centre de formation / conférences / CV / digital learning / EdTech,"Outil de création et gestion de tests de connaissances en ligne : recrutement, certification, test pre et post formation de positionnement des apprenants, avec correction automatique (meme sur les tests papier !) et systeme anti triche ","Tool for creating and managing knowledge tests online recruitment, certification, test pre and post training learners positioning, with automatic correction (! Even on paper test) and anti cheat system",tool creat manag knowledg test onlin recruit certif test pre post train learner posit automat correct even paper test anti cheat system
